,company,
0,anacision gmbh,
1,lengoo,
2,deutsches krebsforschungszentrum (dkfz),
3,online solutions group gmbh,
4,bär automation gmbh,
5,mindpeak gmbh,
6,insius ug,
7,all.in data gmbh,
8,nerian vision gmbh,
9,iph – institut für integrierte produktion hannover ggmbh,
10,omnibot gmbh,
11,alfatraining bildungszentrum gmbh,
12,amberoad,
13,deepart ug,
14,relayr gmbh,
15,audatic gmbh,
16,dpd deutschland gmbh,
17,aiphilos gmbh,
18,debatoo gmbh,
19,servicetrace gmbh,
20,mapegy gmbh,
21,dida datenschmiede gmbh,
22,institut für industrielle informationstechnik (init),
23,peat gmbh,
24,helmholtz-zentrum dresden - rossendorf,
25,nect gmbh,
26,catana capital gmbh,
27,open grid europe gmbh,
28,deckard.ai gmbh,
29,auvisus gmbh,
30,philipps-universität marburg,
31,senatskanzlei hamburg,
32,istari.ai ug,
33,finealyze gmbh,
34,dataroxs,
35,eyeem,
36,xbird gmbh,
37,zal zentrum für angewandte luftfahrtforschung gmbh,
38,fraunhofer-institut für materialfluss und logistik iml,
39,evana ag,
40,leibniz universität hannover,
41,otto-friedrich-universität bamberg,
42,ai ventures ug,
43,celonis se,
44,atlas copco ias gmbh,
45,thoughtworks gmbh,
46,universität des saarlandes,
47,maxsyma gmbh,
48,eve - cloudbased livecaptions,
49,thüga ag,
50,hahn-schickard-gesellschaft für angewandte forschung e.v.,
51,dadora gmbh,
52,excentos,
53,telefónica deutschland,
54,hd vision systems,
55,psi ag,
56,bauhaus-universität weimar,
57,universität ulm,
58,aws-institut für digitale produkte und prozesse ggmbh,
59,embodied technologies gmbh,
60,drehtechnik jakusch,
61,daimler ag,
62,visionhealth gmbh,
63,aisoma ag,
64,frankfurter allgemeine zeitung (f.a.z.),
65,dfki standort saarbrücken,
66,freie und hansestadt hamburg,
67,fraunhofer-institut für intelligente analyse- und informationssysteme iais,
68,elunic ag,
69,stifterverband,
70,sonoware gmbh,
71,cloudmade deutschland gmbh,
72,institute for enterprise systems (ines),
73,solvatio ag,
74,healthcare x.0 gmbh,
75,btc ag,
76,continental ag,
77,"fraunhofer-institut für optronik, systemtechnik und bildauswertung iosb",
78,solandeo gmbh,
79,rasa technologies gmbh,
