,id,label,description,instance,employees,TwitterUser,SocialMediaFollowers,Revenue
0,,,,,,,,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,Q157808,Technical University of Munich,public research university in Germany,institute of technology,+9595,TU_Muenchen,+33505,
10,,,,,,,,
11,,,,,,,,
12,Q466688,Otto Group,German mail order company,concern,+49787,otto_de,+33575,+500000
13,Q573975,"Bauhaus University, Weimar",university,public university,,bauhaus_uni,+4857,
14,,,,,,,,
15,Q40025,University of Erlangen-Nuremberg,"public research university in the cities of Erlangen and Nuremberg in Bavaria, Germany",public research university,,UniFAU,+8271,
16,,,,,,,,
17,,,,,,,,
18,,,,,,,,
19,Q27530,Daimler AG,German automotive manufacturer,automobile manufacturer,+274616,Daimler,+69798,+149467000000
20,,,,,,,,
21,Q153978,University of Tübingen,"public research university located in the city of Tübingen, Baden-Württemberg, Germany",public research university,,uni_tue,+15199,
22,,,,,,,,
23,Q101262627,Goethe-Universität Frankfurt am Main Fachbereich 14 Biochemie Chemie und Pharmazie,academic department,academic department,,,,
24,Q129195,Technische Universität Ilmenau,university,public university,,,,
25,,,,,,,,
26,Q40025,University of Erlangen-Nuremberg,"public research university in the cities of Erlangen and Nuremberg in Bavaria, Germany",public research university,,UniFAU,+8271,
27,Q310695,Technische Universität Darmstadt,university,public university,,TUDarmstadt,+8763,
28,Q101839231,Universität zu Lübeck Sektion Medizin,medical school,medical school,,,,
29,Q81230,Siemens,German multinational conglomerate,business,+370000,Siemens,+235000,+75636000000
30,Q81230,Siemens,German multinational conglomerate,business,+370000,Siemens,+235000,+75636000000
31,,,,,,,,
32,,,,,,,,
33,,,,,,,,
34,,,,,,,,
35,,,,,,,,
36,,,,,,,,
37,Q40025,University of Erlangen-Nuremberg,"public research university in the cities of Erlangen and Nuremberg in Bavaria, Germany",public research university,,UniFAU,+8271,
38,Q40025,University of Erlangen-Nuremberg,"public research university in the cities of Erlangen and Nuremberg in Bavaria, Germany",public research university,,UniFAU,+8271,
39,Q685557,TU Dortmund,university in Dortmund,institute of technology,,TU_Dortmund,+13599,
40,,,,,,,,
41,,,,,,,,
42,,,,,,,,
43,Q685557,TU Dortmund,university in Dortmund,institute of technology,,TU_Dortmund,+13599,
44,,,,,,,,
45,,,,,,,,
46,,,,,,,,
47,,,,,,,,
48,Q2555152,Weidmüller,,business,,,,
49,,,,,,,,
50,Q101839231,Universität zu Lübeck Sektion Medizin,medical school,medical school,,,,
51,,,,,,,,
52,,,,,,,,
53,Q40025,University of Erlangen-Nuremberg,"public research university in the cities of Erlangen and Nuremberg in Bavaria, Germany",public research university,,UniFAU,+8271,
54,,,,,,,,
55,,,,,,,,
56,,,,,,,,
57,,,,,,,,
