,company_name,company_description,employees,revenue,ESG,ESG_avg_industry
0,PLANET AI GmbH,"PLANET AI GmbH is located in Raben Steinfeld, Mecklenburg-Vorpommern, Germany and is part of the Software Publishers Industry. PLANET AI GmbH has        9 employees at this location and generates $1.04 million in sales (USD). (Sales figure is estimated). There are        6 companies in the PLANET AI GmbH corporate family.",9,$1.04 million,2,2.35
2,green spin GmbH,"green spin GmbH is located in Würzburg, Bayern, Germany and is part of the Architectural, Engineering, and Related Services Industry. green spin GmbH has        4 total employees across all of its locations and generates $348,153 in sales (USD). (Employees figure is modelled, Sales figure is estimated). ",4,"$348,153",3,2.23
3,PlanBlue GmbH,"PlanBlue GmbH is located in Bremen, Bremen, Germany and is part of the Commercial and Service Industry Machinery Manufacturing Industry. PlanBlue GmbH has       16 employees at this location and generates $295,045 in sales (USD). (Sales figure is estimated). ",16,"$295,045",3,2.35
4,PRICEWATERHOUSECOOPER,"PRICEWATERHOUSECOOPER is located in IPOH, Perak, Malaysia.
 There are        3 companies in the PRICEWATERHOUSECOOPER corporate family.",,,,
5,ADTELLIGENCE GmbH,"ADTELLIGENCE GmbH is located in Mannheim, Baden-Württemberg, Germany and is part of the Advertising, Public Relations, and Related Services Industry. ADTELLIGENCE GmbH has       36 employees at this location and generates $5.99 million in sales (USD). (Sales figure is estimated). ",36,$5.99 million,2,2.23
6,Universität zu Lübeck,"Universität zu Lübeck is located in Lübeck, Schleswig-Holstein, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Universität zu Lübeck has      100 total employees across all of its locations and generates $9.54 million in sales (USD). (Employees and Sales figures are modelled). There are        3 companies in the Universität zu Lübeck corporate family.",,$9.54 million,1,2.23
7,Papiertechnische Stiftung (PTS),"Papiertechnische Stiftung (PTS) is located in Heidenau, Sachsen, Germany and is part of the Scientific Research and Development Services Industry. Papiertechnische Stiftung (PTS) has       11 total employees across all of its locations and generates $853,974 in sales (USD). (Employees and Sales figures are modelled). There are        2 companies in the Papiertechnische Stiftung (PTS) corporate family.",,"$853,974",2,2.23
8,Retresco GmbH,"Retresco GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. Retresco GmbH has       42 employees at this location and generates $3.01 million in sales (USD). (Sales figure is estimated). There are      134 companies in the Retresco GmbH corporate family.",42,$3.01 million,1,2.23
9,Clinomic GmbH,"Clinomic GmbH is located in Aachen, Nordrhein-Westfalen, Germany and is part of the Computer Systems Design and Related Services Industry. Clinomic GmbH has       50 employees at this location and generates $3.47 million in sales (USD). (Sales figure is modelled). ",50,$3.47 million,2,2.35
10,Innoplexus AG,"Innoplexus AG is located in Eschborn, Hessen, Germany and is part of the Computer Systems Design and Related Services Industry. Innoplexus AG has       18 employees at this location and generates $1.84 million in sales (USD). (Sales figure is estimated). There are        3 companies in the Innoplexus AG corporate family.",18,$1.84 million,2,2.35
11,Theum AG,"Theum AG is located in Ostfildern, Baden-Württemberg, Germany and is part of the Computer Systems Design and Related Services Industry. Theum AG has        5 employees at this location and generates $422,917 in sales (USD). (Sales figure is estimated). ",5,"$422,917",2,2.35
12,3dvisionlabs GmbH,"3dvisionlabs GmbH is located in Chemnitz, Sachsen, Germany and is part of the Computer and Peripheral Equipment Manufacturing Industry. 3dvisionlabs GmbH has        8 employees at this location and generates $206,531 in sales (USD). (Sales figure is estimated). ",8,"$206,531",3,2.35
13,Symate GmbH,"Symate GmbH is located in Dresden, Sachsen, Germany and is part of the Computer Systems Design and Related Services Industry. Symate GmbH has       16 employees at this location and generates $401,261 in sales (USD). (Sales figure is estimated). ",16,"$401,261",1,2.35
14,OMQ GmbH,"OMQ GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. OMQ GmbH has       12 employees at this location and generates $826,125 in sales (USD). (Sales figure is estimated). ",12,"$826,125",2,2.35
