,geo_lat,geo_lng,geo_city,geo_state,geo_country,geo_stateCode,geo_postalCode,geo_streetName,geo_subPremise,geo_countryCode,geo_streetNumber,url,logo,name,site_phoneNumbers,site_emailAddresses,tags,tech,type,phone,domain,ticker,aliases,metrics_raised,metrics_employees,metrics_marketCap,metrics_alexaUsRank,metrics_annualRevenue,metrics_fiscalYearEnd,metrics_employeesRange,metrics_alexaGlobalRank,metrics_estimatedAnnualRevenue,twitter_id,twitter_bio,twitter_site,twitter_avatar,twitter_handle,twitter_location,twitter_followers,twitter_following,category_sector,category_industry,category_subIndustry,category_industryGroup,facebook_handle,linkedin_handle,location,legalName,utcOffset,crunchbase_handle,description,foundedYear,domainAliases,emailProvider,id
0,,,,,,,,,,,,https://priceoptimization.org/,http://logo.bigpicture.io/logo/priceoptimization.org,Price Optimization Software,[],[],[],"['google_analytics', 'google_tag_manager', 'hotjar', 'wordpress']",,,priceoptimization.org,,[],,,,,,,,4253261.0,,,,,,,,,,,,,,,,,Price Optimization Software,,,Compare price optimization software to choose the best solution for your business. Find the best pricing tool to increase your revenue.,,[],False,7febd942-f312-41c7-b0d1-8f877e655bf4
1,,,,,,,,,,,,https://www.edm-prophet.de/,http://logo.bigpicture.io/logo/edm-prophet.de,Fraunhofer IOSB AST,[],[],[],"['google_analytics', 'wordpress']",,,edm-prophet.de,,[],,,,,,,,,,96978921,"Das Fraunhofer IOSB-AST erforscht und entwickelt innovative IuK-Lösungen für #Energie, #Wasser sowie #Maritime und #Eingebettete Systeme in Ilmenau, #Thüringen.",http://www.iosb-ast.fraunhofer.de,https://pbs.twimg.com/profile_images/1095330201540521984/9uXJJMkB_normal.jpg,Fraunhofer_AST,"Ilmenau, Thüringen",1385.0,246.0,,,,,,,"Ilmenau, Thringen",Fraunhofer IOSB AST,,,"EMS-EDM PROPHET® - Lösungen & Services für eine neue, digitale Energiewelt.",,[],False,f46ea9e1-c8dc-4c23-aa2f-049af902a26a
2,,,Jena,Thüringen,Germany,TH,07745,Hans-Knöll-Str.,,DE,1,https://www.uni-jena.de/,http://logo.bigpicture.io/logo/uni-jena.de,University of Jena,[],[],[],"['google_analytics', 'piwik', 'wordpress']",,+49 3641 9400470,uni-jena.de,,"['Universität Jena', 'Friedrich-Schiller-Universität Jena']",,751.0,,,,,501-1K,144016.0,$1M-$10M,281676483,Hier twittert die Online-Redaktion der Friedrich-Schiller-Universität Jena. Besucht uns gern auf Facebook und Instagram (@UniJena) 😀,http://www.uni-jena.de,https://pbs.twimg.com/profile_images/1413047265284001795/MgolAX0O_normal.jpg,UniJena,"Jena, Deutschland",4003.0,234.0,Consumer Services,Education Services,Education Services,Consumer Services,UniJena,company/university-of-jena,"1 Hans-Knll-Str. Jena, TH 07745 Germany",Universitt Jena Servicegesellschaft mbH,,organization/university-of-jena,Hier twittert die Online-Redaktion der Friedrich-Schiller-Universität Jena. Besucht uns gern auf Facebook und Instagram (@UniJena) 😀,1558.0,[],False,322286f8-5c2f-4332-8716-39a8feb4287d
3,,,,,,,,,,,,https://www.nim.org/,http://logo.bigpicture.io/logo/nim.org,NIM - Nrnberg Institut fr Marktentscheidungen e.V.,[],[],[],"['google_analytics', 'wordpress']",,,nim.org,,[],,,,,,,,1097788.0,,,,,,,,,,,,,,,,,NIM - Nürnberg Institut für Marktentscheidungen e.V.,,,,,['gfk-verein.org'],False,269c9896-18fe-418c-8bd4-8fdd95fc6328
4,,,Hamburg,Free and Hanseatic City of Hamburg,Germany,HH,20099,Berliner Tor,,DE,5,https://www.haw-hamburg.de/,http://logo.bigpicture.io/logo/haw-hamburg.de,Hamburg University of Applied Sciences,[],[],['ISP'],"['google_analytics', 'wordpress']",,+49 40 428759847,haw-hamburg.de,,['HAW Hamburg'],,751.0,,,,,501-1K,169793.0,,104137559,Hier twittert das Team der Presse und Kommunikation.,http://www.haw-hamburg.de,https://pbs.twimg.com/profile_images/841198508493398016/SJ4D20E3_normal.jpg,HAW_Hamburg,Hamburg,5215.0,4203.0,Consumer Services,Education Services,Education Services,Consumer Services,HAW.Hamburg,company/hamburg-university-of-applied-sciences,"5 Berliner Tor Hamburg, HH 20099 Germany",Hamburg University of Applied Sciences,,organization/hamburg-university-of-applied-sciences,Hier twittert das Team der Presse und Kommunikation.,1970.0,[],False,11a25e26-f295-4fbe-916f-9c63b162a3db
5,,,Berlin,Berlin,Germany,BE,,,,DE,,https://xbird.io/,http://logo.bigpicture.io/logo/xbird.io,xbird GmbH,[],[],"['Artificial Intelligence', 'Database', 'Emergency Medicine', 'Health Care', 'Machine Learning', 'Wearables']","['google_analytics', 'google_tag_manager', 'wordpress']",private,,xbird.io,,['Xbird'],,31.0,,,,,11-50,7525024.0,,,,,,xbirdhealth,,,,Technology,Software & Computer Services,Computer Services,Technology,xbirdhealth,company/xbird,"Berlin, BE Germany",xbird GmbH,,organization/xbird-gmbh,xbird uses an AI-powered three-step process to provide patients with personalized therapy support and improve adherence,2015.0,[],False,d7806142-6edd-4bf4-9884-c25828c0e1c0
6,,,Bonn,North Rhine-Westphalia,Germany,NW,53113,Friedrich-Ebert-Allee,,DE,140,https://www.telekom.com/en,http://logo.bigpicture.io/logo/telekom.com,Deutsche Telekom,[],[],"['Enterprise Software', 'Infrastructure', 'Internet', 'Mobile', 'Retail', 'Telecommunications', 'ISP']","['google_analytics', 'wordpress']",public,1-212-301-6111,telekom.com,DTEGY,"['ST 77 - Investment GmbH', 'Deutsche Telekom Inc']",3320086025.0,221909.0,94892343296.0,14426.0,109843996672.0,,10K+,1612.0,$10B+,92224801,Hier twittert das #CorporateCommunications Team 👉 https://t.co/oApJBpjVEk #DABEI #digichat | Für Kundenanliegen und Servicefälle: @Telekom_hilft 💡,http://www.telekom.com/impressum,https://pbs.twimg.com/profile_images/1414489325706821634/SMIknTUG_normal.jpg,deutschetelekom,Bonn/ Germany,79442.0,683.0,Telecommunications,Fixed Line Telecommunications,,Telecommunications,deutschetelekom,company/telekom,"140 Friedrich-Ebert-Allee Bonn, NW 53113 Germany",Deutsche Telekom AG,,organization/deutsche-telekom,"Deutsche Telekom AG, together with its subsidiaries, provides integrated telecommunication services. The company operates through five segments: Germany, United States, Europe, Systems Solutions, and Group Development. It offers fixed-network services, including voice and data communication services based on fixed-network and broadband technology; and sells terminal equipment and other hardware products, as well as services to resellers. The company also provides mobile voice and data services to consumers and business customers; sells mobile devices and other hardware products; and sells mobile services to resellers and to companies that purchases and markets network services to third parties, such as mobile virtual network operators. In addition, it offers internet services; internet-based TV products and services; and information and communication technology systems for multinational corporations and public sector institutions with an infrastructure of data centers and networks under the T-Systems brand, as well as call center services. The company has 242 million mobile customers and 22 million broadband customers, as well as 27 million fixed-network lines. Deutsche Telekom AG has a collaboration with VMware, Inc. on cloud-based open and intelligent virtual RAN platform to bring agility to radio access networks for existing LTE and future 5G networks; and partnership with Microsoft to deliver high-performance cloud computing experiences. The company was founded in 1995 and is headquartered in Bonn, Germany.",1995.0,[],False,db344e10-a354-4909-b22e-9f6fd8f574e4
7,,,Quedlinburg,Sachsen-Anhalt,Germany,ST,,,,DE,,https://www.julius-kuehn.de/,http://logo.bigpicture.io/logo/julius-kuehn.de,Julius Khen-Institut,[],[],['Government'],"['google_analytics', 'piwik', 'typekit', 'wordpress']",public,,julius-kuehn.de,,['Julius Kühn-Institut'],,,,,,,10K+,634667.0,,1612217574,"Hier twittert die Pressestelle des Julius Kühn-Instituts, des Bundesforschungsinstituts für Kulturpflanzen (JKI).
https://t.co/9Of5xut5KG",http://www.julius-kuehn.de,https://pbs.twimg.com/profile_images/1085444061241241600/a0bEZJHm_normal.jpg,JKI_Bund,,2359.0,219.0,Government,Government Agencies,Government Agencies,Government,,company/julius-k%c3%bchen-institut,"Quedlinburg, ST Germany",Julius Khen-Institut,,organization/julius-kuhn-institut,"Hier twittert die Pressestelle des Julius Kühn-Instituts, des Bundesforschungsinstituts für Kulturpflanzen (JKI).
https://t.co/9Of5xut5KG",,[],False,980ef385-52d2-4c29-b32a-8981d2924a71
8,,,,,,,,,,,,https://aiqnet.eu/,http://logo.bigpicture.io/logo/aiqnet.eu,Frank Stratmann,[],[],[],"['google_analytics', 'google_tag_manager', 'vimeo', 'wordpress']",,,aiqnet.eu,,[],,,,,,,,,,118016791,"#Mentor for #Physicians primary #CareProviders & #Healthcare Specialists, #Marketing #Expert & #Director #Health #Hospital @edenspiekermann #Author #Blogger",http://instagram.com/betablogr,https://pbs.twimg.com/profile_images/1401455884824420355/y_lewgY5_normal.jpg,betablogr,Schmallenberg,3746.0,3745.0,,,,,privacy/explanation,,Schmallenberg,Aiqnet,,,"Das Buch zum Blog. Erschienen bei Springer Gabler. Marketing im Gesundheitswesen bietet vertiefende Inhalte, aktuelle Trends und vieles mehr.",,['kiks.ai'],False,2df81056-928e-4467-8b52-b9207894584c
9,,,Bonn,North Rhine-Westphalia,Germany,NW,53113,Regina-Pacis-Weg,,DE,3,https://www.uni-bonn.de/en,http://logo.bigpicture.io/logo/uni-bonn.de,Universitt Bonn,[],[],"['Education', 'Universities']","['google_analytics', 'wordpress']",private,49-228-73-0,uni-bonn.de,,"['Rheinische Friedrich-Wilhelms-Universität Bonn', 'University of Bonn']",,751.0,,,,,501-1K,126770.0,,80858333,"University of Bonn: founded in 1818, University of Excellence since 2019 / Universität Bonn: gegründet 1818, Exzellenzuniversität seit 2019.",http://www.uni-bonn.de,https://pbs.twimg.com/profile_images/953219626187542529/tUN_yzk2_normal.jpg,UniBonn,"Bonn, Germany",19983.0,730.0,Consumer Services,General Retailers,Specialized Consumer Services,Retail,unibonn,company/universit-t-bonn,"Regina-Pacis-Weg 3 Bonn, 53113 Germany",Rheinische Friedrich-Wilhelms-Universitaet Bonn,,organization/university-of-bonn,"Rheinische Friedrich-Wilhelms-Universitaet Bonn provides educational services. The University offers bachelors and masters degrees in protestant theology, law and economics, medicine, arts, mathematics, natural sciences, and agriculture. Rheinische Friedrich-Wilhelms-Universitaet Bonn serves students in Germany.",1818.0,[],False,27b1dead-f5e2-4d74-b1fe-92aafb81b998
