,twitter_handle,Tweets,Likes
0,Nan,Nan,Nan
1,linderade,"1,830 Tweets",1221
2,Fraunhofer,"9,802 Tweets",6869
3,Fraunhofer,"9,802 Tweets",6869
4,ALBAGroup,"2,149 Tweets",1245
5,Nan,Nan,Nan
6,MasasanaAI,35 Tweets,10
7,DFKI,"3,435 Tweets",8135
8,Fraunhofer,"9,802 Tweets",6869
9,TU_Muenchen,"3,338 Tweets",2000
10,Fraunhofer,"9,802 Tweets",6869
11,OttoGroup_Com,"5,453 Tweets",2433
12,100_Worte,"4,153 Tweets",2525
13,KITKarlsruhe,10.7K Tweets,7269
14,UniFAU,13.9K Tweets,12181
15,149Tech,72 Tweets,0
16,3dvisionlabs,179 Tweets,187
17,Nan,Nan,Nan
18,5analytics,,Nan
19,aarondotai,4 Tweets,0
20,Nan,Nan,Nan
21,Fraunhofer,"9,802 Tweets",6869
22,ABBgroupnews,11.8K Tweets,4144
23,Accenture_US,"2,303 Tweets",2241
24,edacentrum,760 Tweets,0
25,adahealth,"1,122 Tweets",1995
26,UniLuebeck,"2,198 Tweets",1687
27,Siemens,11.6K Tweets,6222
28,Fraunhofer,"9,802 Tweets",6869
29,Fraunhofer,"9,802 Tweets",6869
30,adigi_ai,25 Tweets,16
31,AI4BDcom,132 Tweets,167
32,bliq_ai,104 Tweets,94
33,aiPhilos,191 Tweets,204
34,aisolab,92 Tweets,25
35,AISOMA_AG,"1,501 Tweets",3884
36,EnergyCortex,51 Tweets,38
37,fz_juelich,"6,942 Tweets",4862
38,Weidmueller,"1,325 Tweets",845
39,Vistex,"3,017 Tweets",754
40,bitExpert,"4,137 Tweets",2322
41,phil_ipp_,33 Tweets,424
42,Architrave_GmbH,"1,111 Tweets",559
43,Nan,Nan,Nan
44,artiminds,565 Tweets,769
45,webknossos,174 Tweets,24
46,Artisense3D,10 Tweets,2
47,Cruise,856 Tweets,4034
48,Atomleap_com,43 Tweets,44
49,audatic_ai,0 Tweets,0
50,AudiOfficial,21.2K Tweets,8401
51,AI_inAutomotive,75 Tweets,4
52,ava_information,32 Tweets,35
53,AZO_GmbH_CoKG,731 Tweets,2312
54,Nan,Nan,Nan
55,Nan,Nan,Nan
56,batix,358 Tweets,336
57,bauhaus_uni,"1,498 Tweets",2105
58,neoheldencom,111 Tweets,141
59,BayesEsports,210 Tweets,187
60,Nan,Nan,Nan
61,elunic,171 Tweets,100
62,biovariance,290 Tweets,105
63,Nan,Nan,Nan
64,BirdieMatch,916 Tweets,419
65,uniGoettingen,"5,496 Tweets",2385
66,Microsoft,25.7K Tweets,10890
67,birdsonmars,"3,252 Tweets",1229
68,Bitburger,"3,202 Tweets",4843
69,Nan,Nan,Nan
70,BMWGroup,"7,186 Tweets",2656
71,Fraunhofer,"9,802 Tweets",6869
72,TheBSHGroup,0 Tweets,0
73,brainalyzed,763 Tweets,151
74,Fraunhofer,"9,802 Tweets",6869
75,projectbreeze,288 Tweets,398
76,brighterAI,386 Tweets,560
77,Nan,Nan,Nan
78,BuildingRadar,340 Tweets,202
79,Nan,Nan,Nan
80,BackboneAG,47 Tweets,7
81,bunch_HQ,"1,979 Tweets",2968
82,candis_io,195 Tweets,31
83,cassoftware,"1,699 Tweets",481
84,auvisus,22 Tweets,14
85,Nan,Nan,Nan
86,cellmatiq,136 Tweets,315
87,Celonis,"4,455 Tweets",4476
88,Centogene,"2,215 Tweets",1182
89,Nan,Nan,Nan
90,ChimaeraGmbH,364 Tweets,78
91,kieluni,"7,853 Tweets",5718
92,CoremanNet_,36 Tweets,282
93,clarifydata_,109 Tweets,4
94,ClinomicAI,159 Tweets,51
95,Cloudflightio,"9,279 Tweets",1028
96,enginsightcom,559 Tweets,385
